query,seendate,title,domain,language,sourcecountry,url,url_mobile,socialimage
"""Ukraine"" ""Shahed""",20260512T210000Z,New Report Claims Ukraine And U . S . Near  Landmark  Drone Defense Deal,ibtimes.com,English,United States,https://www.ibtimes.com/new-report-claims-ukraine-us-near-landmark-drone-defense-deal-3802719,,https://d.ibtimes.com/en/full/4578169/samantha-power-head-us-agency-international-development-usaid-under-former-president-joe.jpg
Ukrzaliznytsia,20260512T150000Z,Украина предложила ЕС создать  железнодорожный Рамштайн  для инфраструктуры | MigNews - Новости Израиля и Мира на русском языке,mignews.com,Russian,,https://mignews.com/news/politic/ukraina-predlozhila-es-sozdat-zheleznodorozhnyj-ramshtajn-dlya-infrastruktury.html,,https://mignews.com/media/cache/f5/bb/f5bb8cd36db778a5c9eaa830c308c788.jpg
Ukrzaliznytsia,20260512T123000Z,Росія атакувала залізницю в Дніпропетровській області . Що відомо ? ,ain.ua,Ukrainian,Ukraine,https://ain.ua:443/2026/05/12/rosiiani-atakuvali-zaliznicnu-infrastrukturu-na-dnipropetrovshhini/,,https://cdn.ain.ua/ua/articles/2026-05-12/aGVaINt7K8kcsR14XbsokKWguNSsVDxb2dlGHokU.webp
Ukrzaliznytsia,20260508T160000Z,Поджег на Укрзалізниці : агент РФ получил 15 лет тюрьмы,korrespondent.net,Russian,Ukraine,https://korrespondent.net/ukraine/4877178-podzheh-na-ukrzaliznytsi-ahent-rf-poluchyl-15-let-tuirmy,https://korrespondent.net/amp/4877178-podzheh-na-ukrzaliznytsi-ahent-rf-poluchyl-15-let-tuirmy,https://kor.ill.in.ua/m/1260x900/4426744.jpg
"""Ukraine"" ""energy infrastructure""",20260508T143000Z, « Укренерго » попереджає про обмеження світла на Одещині . ДТЕК каже про аварійну ситуацію,radiosvoboda.org,Ukrainian,Ukraine,https://www.radiosvoboda.org/a/news-svitlo-dtek-odeshchyna-obmezhennya/33752606.html,https://www.radiosvoboda.org/amp/news-svitlo-dtek-odeshchyna-obmezhennya/33752606.html,https://gdb.rferl.org/96B557E4-3A6E-4309-A7FA-8664B20AD232_w1200_h630.jpg
"""Ukraine"" ""energy infrastructure""",20260507T204500Z,"Удары по Харьковской области , Днепропетровску и энергетике Украины усиливают давление на инфраструктуру",pronedra.ru,Russian,Russia,https://pronedra.ru/strana-kamikadze-udary-po-harkovskoj-oblasti-dnepropetrovsku-i-energetike-ukrainy-usilivayut-davlenie-na-infrastrukturu-817283.html,,https://pronedra.ru/wp-content/uploads/2026/02/udary-po-energetike-ukrainy-2-870x460.jpg
"""Ukraine"" ""energy infrastructure""",20260507T093000Z, « Укренерго » фіксує зростання енергоспоживання через теплу погоду,radiosvoboda.org,Ukrainian,Ukraine,https://www.radiosvoboda.org/a/news-ukrenerho-zrostannia-enerhospozhyvannia-tepla-pohoda/33751800.html,https://www.radiosvoboda.org/amp/news-ukrenerho-zrostannia-enerhospozhyvannia-tepla-pohoda/33751800.html,https://gdb.rferl.org/C0954357-82EF-4F01-9520-6A5131E03FBF_cx0_cy8_cw0_w1200_h630.jpg
Ukrzaliznytsia,20260506T194500Z,ArcelorMittal Kryvyi Rih suspends its mining and steelmaking capacities due to disruptions in provision of logistics services by Ukrzaliznytsia,en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/economic/1165462.html,https://en.interfax.com.ua/news/economic/1165462-amp.html,https://media.interfax.com.ua/media/social_img/1165462_161942_0605.jpg
"""Ukraine"" ""energy infrastructure""",20260506T180000Z,"TİKAdan , Ukraynada Kalp Cerrahisi Merkezine kesintisiz enerji altyapısı",haberler.com,Turkish,Turkey,https://www.haberler.com/guncel/tika-ukrayna-daki-kalp-cerrahisi-merkezine-enerji-altyapisi-destegi-sagladi-19823225-haberi/,https://www.haberler.com/amp/tika-ukrayna-daki-kalp-cerrahisi-merkezine-enerji-altyapisi-destegi-sagladi-19823225-haberi/,
Ukrzaliznytsia,20260506T144500Z,Поезд Сакура - какие на самом деле приходят вагоны и сколько стоят билеты,obozrevatel.com,Russian,Ukraine,https://www.obozrevatel.com/ekonomika-glavnaya/economy/novyij-poezd-ukrzaliznyitsi-popal-v-skandal-passazhiryi-razocharovanyi-tem-kakie-vagonyi-prihodyat.htm,https://www.obozrevatel.com/ekonomika-glavnaya/economy/novyij-poezd-ukrzaliznyitsi-popal-v-skandal-passazhiryi-razocharovanyi-tem-kakie-vagonyi-prihodyat/amp.htm,
Ukrzaliznytsia,20260506T130000Z,Отсутствие решения по пассажирским убыткам  Укрзалізниці  может привести к дефолту – медиа,obozrevatel.com,Russian,Ukraine,https://www.obozrevatel.com/ekonomika-glavnaya/otsutstvie-resheniya-po-passazhirskim-ubyitkam-ukrzaliznitsi-mozhet-privesti-k-defoltu-media.htm,https://www.obozrevatel.com/ekonomika-glavnaya/otsutstvie-resheniya-po-passazhirskim-ubyitkam-ukrzaliznitsi-mozhet-privesti-k-defoltu-media/amp.htm,
"""Ukraine"" ""Shahed""",20260506T071500Z,Russia attacks Ukraine with ballistics and drones : 89 of 108 UAVs shot down – Air Force,en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1165258.html,https://en.interfax.com.ua/news/general/1165258-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/09/vksqb/33igZdBZOEnf.jpg
"""Ukraine"" ""energy infrastructure""",20260505T144500Z,Слични теми,time.mk,Macedonian,Macedonia,https://time.mk/sc/0e3bc5d542/mk/,,
"""Ukraine"" ""energy infrastructure""",20260505T130000Z,At least five killed and dozens injured in Ukraine in  vile  Russian strike amid ceasefire talk,washingtonexaminer.com,English,United States,https://www.washingtonexaminer.com/news/4554800/five-killed-in-ukraine-in-russian-strikes/,,https://www.washingtonexaminer.com/wp-content/uploads/2026/05/Screenshot-2026-05-05-at-4.57.15-AM.png
"""Ukraine"" ""energy infrastructure""",20260505T111500Z,Zelenskyy on overnight Russian strikes : Absolute cynicism to ask for silence and strike with missiles,en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1164921.html,https://en.interfax.com.ua/news/general/1164921-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/11/abexc/ASntt-AYU-2n.jpg
