side,category,total,destroyed,damaged,abandoned,captured,source_url,raw_heading
russia,Russia,23703,18686,988,1199,2830,https://www.oryxspioenkop.com/2022/02/attack-on-europe-documenting-equipment.html,"Russia - 23703, of which: destroyed: 18686, damaged: 988, abandoned: 1199, captured: 2830"
russia,"Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs]",14067,11085,383,1044,1555,https://www.oryxspioenkop.com/2022/02/attack-on-europe-documenting-equipment.html,"Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 14067, of which: destroyed: 11085, damaged: 383, abandoned: 1044, captured: 1555"
ukraine,Ukraine,11629,9068,687,683,1191,https://www.oryxspioenkop.com/2022/02/attack-on-europe-documenting-ukrainian.html,"Ukraine - 11629, of which: destroyed: 9068, damaged: 687, abandoned: 683, captured: 1191"
ukraine,"Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs]",5946,4553,263,494,636,https://www.oryxspioenkop.com/2022/02/attack-on-europe-documenting-ukrainian.html,"Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 5946, of which: destroyed: 4553, damaged: 263, abandoned: 494, captured: 636"
