date,rows,launched_total,destroyed_total,shahed_reported_total,sources
2026-02-15,6,72.0,58.0,40.0,PvKPivden/posts/pfbid02AfkGxkTncqCgzPjcwqNkZRYp75qCsA5mbd9KkfWjYRYdxSzHNiv5EaU2dTqj8DPQl;kpszsu/posts/pfbid02FADHWssAwVCGqvfhSJy6p33grxhQjKQCN1RUdZkgqatdvT3wAGjhcQbcsjPBFnccl
2026-02-16,7,430.0,396.0,250.0,PvKPivden/posts/pfbid02distXv8jGoNXQo4oP9nPxtVWQwRDXx4HMMjrahdomfu27LsRYuTDxFFsCyqg2KcSl;kpszsu/posts/pfbid0jQUXJnpiXAcHsfgDVYbkMFoPvL436RGexwnqgjV68drS7YJDCDJzPsLdP6eUAQTjl
2026-02-17,5,174.0,147.0,80.0,PvKPivden/posts/pfbid02cJyJJPMxfvDysN549Yc5XazPhN3V3MFdtNrVEtUtu9y51kapEJweBB32XdRUnZF8l;kpszsu/posts/pfbid02zDXDrDwyKqN3TN55q85BFaEMmf3LFcPPjc7vGsPrxPEmGU9ZUY2TkTb3VneCjuUdl;kpszsu/posts/pfbid0jQUXJnpiXAcHsfgDVYbkMFoPvL436RGexwnqgjV68drS7YJDCDJzPsLdP6eUAQTjl
2026-02-18,1,37.0,29.0,20.0,kpszsu/posts/pfbid06VQvbfSf32WSwBfr2RYb85vunqRXkNzgHKybE1hTYDeiTKRHJwkkaGb5TU1UmTKRl
2026-02-19,5,153.0,130.0,80.0,PvKPivden/posts/pfbid02beCm9NzNTZTkBp2i1Nx5td4vKmJ77b5dMjmBExBcvFQF2VVT3BUqzT3SFkX2UHoFl;kpszsu/posts/pfbid02aRYX3235xz4AUKiJLpeuZhUwW3ZY1T3vGGHqBeWbtWtNywgBd7x25ZrP9nHJxBqal
2026-02-20,4,141.0,126.0,80.0,PvKPivden/posts/pfbid02JsaUTBgSZbAA7ALKjAkRmUBtay8ucp48VFaibmZLUA5K2QgwD1YF78wP8mmyi2fgl;kpszsu/posts/pfbid02xQ8qBbBrooMrkfEoxVfzTCY475AUQ8T9fyBgKeNKUcizKZibZuJTakMu3XhQywsrl
2026-02-21,3,329.0,306.0,200.0,PvKPivden/posts/pfbid0RPfY4WkZgtfDFAw9GpfPbFWpnnRb5FTUqe26dg636tDEk9ibpeWpZuMt2eVZC4F2l;kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-22,9,216.0,177.0,80.0,PvKPivden/posts/pfbid0Q6JyMudAxHkhzz2M7RcpGXqSb8mJXnRW7Vv4Nx5cLTVUfjL4upWR9BfU9n4itP8Vl;kpszsu/posts/pfbid02fqCNknZ7m9x7qvLL8jZ9V75AFGFgXGQ8QWaFAp7VTZTMTRVGYhNXBaFgzhxqKkwDl;kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-23,4,168.0,145.0,90.0,PvKPivden/posts/pfbid02MBaeL2wQsHayikEYiQz2vvTcztrPxwvzFuyUy1TRD97ADMmAnfYmr3czMDJDJgqQl;kpszsu/posts/pfbid07zEhfj1tSutAREd2VkvX4LSuQUkB3wxU5ohkjpffwRD9PLZMvnxNKi9csFMMafzsl
2026-02-24,2,127.0,107.0,60.0,PvKPivden/posts/pfbid021ATaMGbaShbCgypUojJtUqtwckHf2S8gmLVhuWWw4Yi2fGQpwCEb5AkaDouo3Kbdl;kpszsu/posts/pfbid03yqbvvDgZHEDZ2isGtBw5sGd7SDyc7HjaDGtveLziBkp9TepYoRUvAQfCuwfSyjnl
2026-02-25,3,448.0,400.0,280.0,PvKPivden/posts/pfbid0fdJ7ErkFMtWU38ezJRMUaFuz61V6CvgR8tkkieA71PvBfRBojVrAEGL9Jy2XewMTl;kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
2026-02-26,6,239.0,210.0,120.0,PvKPivden/posts/pfbid0243fHjG1qJ5biLYKdrwCfCgLFLgzfaDPHTyExt293J9Xak484R7EspWjAMwtvyihwl;kpszsu/posts/pfbid012veiDLbLVUbo3KoqChvbPNjefzBsMsYpdKp1TtMHVWxRGY8fdnY2386jP9J7jtgl;kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
2026-02-27,4,143.0,133.0,60.0,PvKPivden/posts/pfbid02adnF8YF41vEP6j6YKfpQd8XmVk2qdqQB3Cots2yd4arSoFPbYSgFfFLGUfcrY3wpl;kpszsu/posts/pfbid02m1xvUpDFCyo5TXqDX2L5bKpJrtc5owuTthHL19ND6d4HBLpVCVrPJ8fQycAHRUccl
2026-02-28,3,165.0,152.0,70.0,PvKPivden/posts/pfbid0vw4ooHYbSBkqkoUx2TFbvdWEJbvvEuk4DH3BRKLVsHwVmpKq1yUDXGzzfZgrKWYhl;kpszsu/posts/pfbid02m1xvUpDFCyo5TXqDX2L5bKpJrtc5owuTthHL19ND6d4HBLpVCVrPJ8fQycAHRUccl
