date,rows,launched_total,destroyed_total,shahed_reported_total,sources
2025-12-19,4,82.0,58.0,30.0,PvKPivden/posts/pfbid0BYwBu9ibeYnRxWBtBUf4igQTvBh7fzGqSVX4PUbrjF1VMoTwJXDeZToR8PN7E8Zul;kpszsu/posts/pfbid02kZAkEHp6gEc96TCivvhyQjZVv9n4XtUbwhEMfdktqdubmMMYrNHVy7BWJTvV5xbkl
2025-12-20,1,97.0,75.0,60.0,kpszsu/posts/pfbid02qLEaQTaKxDLxG5DEmkr3VQwhcqGKdCZZL6trtJKBwqYsxvPAvsDrN2eziPzuz9wul
2025-12-21,3,89.0,60.0,50.0,PvKPivden/posts/pfbid02DHqy1fUPi9Qw3pRT4a5qduZZ3z8DXG1expZwnbHdgp9ZfcsPR2YzkTucyjgaWevpl;kpszsu/posts/pfbid02BzvjqsN6gti8C9T4V5ChP5aRAyLoFwLpNSWZe3X4sgmPGh5XnqfMAJBdKyyFdFuAl
2025-12-22,2,657.0,609.0,400.0,PvKPivden/posts/pfbid02CZam3Qb7dLT5oz3yKez8QRHmTUgtCA9MCC1XgN1HYaXq6MmdTzvcehJpAyJnYq6ql;kpszsu/posts/pfbid0FoCxAp85ztgf726AWrWAHUb95J5pg2trsLyLJ4tuu9F4fCJjikuyhC5oM7kXpTmUl
2025-12-23,5,192.0,132.0,90.0,PvKPivden/posts/pfbid02Uro9DVpWfX9cS1pdqouKDY1tnKxdhaxM2WZj16RtfpzS4khcQySv2UkCeHMRicu9l;kpszsu/posts/pfbid02TdvFmxzn9pVKEPBwwREcRouBdCnBzxLHTJKqxC8DeSS3CexMsh28Yv9ezxYkh7tYl;kpszsu/posts/pfbid0FoCxAp85ztgf726AWrWAHUb95J5pg2trsLyLJ4tuu9F4fCJjikuyhC5oM7kXpTmUl
2025-12-24,3,162.0,137.0,90.0,PvKPivden/posts/pfbid0iSCghxMje9eFm7QBkdEuLAShqrbfsHgsmKegfpEg43hiP7bwj4GnBKadSXQFTw84l;kpszsu/posts/pfbid0nK4oLUznziB9epicExEtaaRpRoNgUJuds36jKVpskHRzUK113qtHXuxcdfL74pUtl
2025-12-25,4,134.0,107.0,60.0,PvKPivden/posts/pfbid033UyFgvMhbfZXgJR1Z8YckhfukZS4p6BxWBKmSZinzmeuvch7orooy9sBF66mp8cUl;kpszsu/posts/pfbid025ZYFmtV3x3fkEChfVX7wzBVAi31fHbVqUK5EthZQ2sfHSn2jdKT7h6hyNLBqnXj5l
2025-12-26,6,569.0,513.0,300.0,PvKPivden/posts/pfbid023vdvRUYCiP6Uz7QPf2S1nBfNdQDJCJhyfh2xcFvP8A2P9schnQ7dVyuS5mzk16wrl;kpszsu/posts/pfbid028r7WWV4BK1ArpzwXG5BYQWundMz3ubFdXcN7Bn3H8XrV2qoLcYuB6ZKtChTSXtE2l
2025-12-27,2,71.0,53.0,30.0,PvKPivden/posts/pfbid02opeokGg5nzmMi2o8NSHM9ucyb2fQnxVcfqVberkVTwkg84xEwzTBY53ks35w7aj4l;kpszsu/posts/pfbid0esgp8R5DcgowzrZSA4repGZPJdLC5ZDf24ZbKaaLrXQY6LzkPDRNtmvoXGGzcjzRl
2025-12-28,2,38.0,34.0,15.0,PvKPivden/posts/pfbid02GFRAswH8to8QvkXDkE8dLDdJK4YHz9BqumRuyGJYZNJR1nvBBUVEbF1RgEBiLNeal;kpszsu/posts/pfbid0YpgmEGzfg4LuiPJoN8wDH1VvEJ2FdmhUUCqJa85k2TXJPt9C1EYMJ3En9xAYmDijl
2025-12-29,4,70.0,61.0,40.0,PvKPivden/posts/pfbid02U3cvTMcUeS7hXkrxFvJu1dWcNgo3t2RP5iLuvpyDPBCWKY37Rbysg2YTJZKRcHoPl;kpszsu/posts/pfbid02xhaYYKXejgBNoEfb4qgP45tbtnYGfEn7PFJWpLAsTW5M8My3BXtFw9kiVN4P3MYSl
2025-12-30,2,139.0,113.0,80.0,PvKPivden/posts/pfbid0ynbTKiYsg8qwSV8s7xubFoFr6SFxFu9Qy36YH1vR7YYyDaDLENr5tu19RARKdyftl;kpszsu/posts/pfbid0F7ZpFtdbsjfYyEm2DckN4yGZLpuoLkg78CE4iQ2MXfUAu9PrGJXGXh4uiYXExMZ6l
2025-12-31,2,216.0,187.0,130.0,PvKPivden/posts/pfbid02ovmeMo8xyz1SWyyuk1M8YKpJMHgcmw3BpXY5refdBb32n5dfHmwwiEgEibydT18wl;kpszsu/posts/pfbid0TdVCdVdkRoJN5jZ26dj64CFujFUSFAAmZpF7dEoGiCPVxvudBj7PXWo9GM5sfy4nl
2026-01-01,4,156.0,126.0,70.0,PvKPivden/posts/pfbid023jigBrYSkgGhHskZhRTiyimQmctcZbULZjPQEgMY24MyZX8F2ADN42KUqDvji43zl;PvkZahid/posts/pfbid02YVo1iAizqFJREHVK6w2YmyxSF77htxcfyUK4pfhcsx7Pvg2oFeTMa93iDEjqPyXHl;kpszsu/posts/pfbid06UqeQN6EpYFc57jas3PWAqknTA36Fj7iVbzYwMfW4uKUE3vPWHoPQe52bWsQ7U8Ul
2026-01-02,2,103.0,88.0,60.0,PvKPivden/posts/pfbid02TPBQtC9K4NjVdHmUise5rGp1nhPujdqx3DHmwMoLt76EGBqXLnEg4JLhZPpwoeX7l;kpszsu/posts/pfbid0yA7xeCfeoPJsMTBEv9CiDmxgg4RpUzYKxx429oh5umQCsra7BX7BEFWzpMgRWSZXl
2026-01-03,2,64.0,51.0,40.0,PvKPivden/posts/pfbid02hVGrLr9FA2iabqmqP7rMmx9dfmWcKDCR332Rftaziq9dh48pY9fXhwWsg4WSY1Ncl;kpszsu/posts/pfbid0FpXFz4rbDGTKqkEghui5aTmsfTGWcbYPzBtPZf4jUp5v3E5UtMvZ1Q3kboPfjQAUl
2026-01-04,3,186.0,149.0,100.0,PvKPivden/posts/pfbid032x511d5nnQbJgtPa7aW3byKC136vm8bx4Jb6apKLR2RAtWHuW1LsmN9amU4xi2oml;kpszsu/posts/pfbid02pYp3rrQ6YNUELRY6CUq57SXJf6UPyQBv2qjxMVMxfX8FjPzMcnqNiX4NgnKYzA87l
2026-01-05,3,80.0,72.0,40.0,PvKPivden/posts/pfbid02s8sGhngdoNrXL5TRLRstLfuQrZ3dkbdJhPLEZEKVAhyPnSxkXdHKsi3s24FBHoqGl;kpszsu/posts/pfbid02vdtXLYjfe2SEn4pgMFuophthLbdAcZcYifcH1v8YfVQ7wbbpFvSDGXHJWEK9Dm5al
2026-01-06,3,110.0,95.0,60.0,PvKPivden/posts/pfbid0agouRjrkqJN6aaTEEABTouQeSAkW6xo1W8bTpDLAwtLebMScdV8un5AJiiJF21iRl;kpszsu/posts/pfbid039DHJSnRrq9YvWQQDg1S5svtN6GWmB5YTAXSwFfZ9XfMR5kKovdsSn2VTMVZuLSDl
2026-01-07,4,109.0,80.0,70.0,PvKPivden/posts/pfbid02HXgmH3THwUAYTgZSrTyqwegDmwUCjUMqZmxzdKQJSnUaCoCf5oMXXhHphpHFss61l;kpszsu/posts/pfbid0yw7pQM6WATc6pM9jdFXMHEndE1GHyNH4o1mn7JCuszfXYoQb9acdqn9LokrgkSGCl
2026-01-08,6,288.0,254.0,150.0,PvKPivden/posts/pfbid023yhg6uuW9BLSbfiPW6nxiL4H9njP2RCayieaBWjT1Qid3hcqhPVGH3ivFFrgpG1vl;PvkZahid/posts/pfbid0GW4Qc5YiAMSAhbnTs8FvMB2hxWH9my9gyAWQtn8GhiaAGGe6Sdgih2PJTaJTCwxql;kpszsu/posts/pfbid0SyvTrtmBdBfWqr74VrhCWL4cR8fGmUTD4aE1ccv6kwqXivDYBJQLaQMUGvLRJZxyl
2026-01-09,4,133.0,105.0,80.0,PvKPivden/posts/pfbid027kzkD7449YoRBHNmaAAfv3fhc4e4NJpZE123FonbtHJ53d9KxeFZC88voCupPSQ4l;kpszsu/posts/pfbid0nLbwxniYwpvLezfMftaxAfAdAaYvyQmu8f5Vy4UHiBUaQwLyBMPqrw5FpZteXAPbl
2026-01-10,2,166.0,137.0,110.0,PvKPivden/posts/pfbid02LskjhMpJrE8MRgRk3jgRNen1rWWTRqrDYHJuW3G7RG1QYA1m3rbizFzqQnDgnxgwl;kpszsu/posts/pfbid0YjfqTBnr5eY9m4btDoQbUU5Hm7eKWRKGuUJomfMJv3xbbGq7KNtMBKeVcaGhrwEUl
2026-01-11,3,173.0,152.0,110.0,PvKPivden/posts/pfbid0Q7GbSZbWHp5Z7FZPGs4GPdf26dxMeCb7jQcWRAynngC9aT7iRPJnFigzMCxkDSaXl;PvkZahid/posts/pfbid02JJaGDkVGXypHvgJHRCcAJL2aXehwPEc7s1MsxHQzoa7JwGHtgUPj9Q7mP9iP6iMPl;kpszsu/posts/pfbid0tR2SaWAaJvVfr3VSRTt19fkeZf27iuUx4CmNyRsRWixtLuJF8jXy4c1NR8V1boD9l
2026-01-12,5,337.0,266.0,200.0,PvKPivden/posts/pfbid02KZ6BqZGipDbvcFbWefFKDincUjoxhLVZCjoa394Ef1eJzvBdo27wsd8QfKNfg4pEl;kpszsu/posts/pfbid0e7FKTsL4Q75mHnY3Yyzp9j7bHYNmCs9mhhszh1eibzRgaxDNdDNBEzV7HJEZJPsDl
2026-01-13,4,139.0,113.0,70.0,PvKPivden/posts/pfbid025KMTKezy6AVtgHtimJX9wmauT4dzHhAjDwTqF6gf7wSRQ6SBMUN2qoo9rsLmx42cl;kpszsu/posts/pfbid02LphUidF2DRMPvnPCjpcB3HpcmS13U6Yu8YVdGcoRKdQhiaZeipGk9pFi1zxb9REql
2026-01-14,3,111.0,90.0,70.0,PvKPivden/posts/pfbid02wuW4Zy6ySHrtjjWGs9FvnRwTEWPyt3EXweT7sg7Rbdp1eYiCAPsofwgTDBiKFxmyl;kpszsu/posts/pfbid0gzZLnprzLhmewGEM2PJ36twJNcQTwMCcA6fAXKPP3cgQvBjFwxnmNxgpYvB3AgsPl;kpszsu/posts/pfbid0if6mBz3m27TrtzobyRz81h8VB7gHDDLfUdGEdr15awgZ5n2snAEe3CsV7cWFKZ2Fl
2026-01-15,4,105.0,79.0,50.0,PvKPivden/posts/pfbid0ZEPrJfV5SWTmuhSKForWryV38zEujZ8G4g8Wr6fQEW3UdibuDK2Ytbomo4scL2bCl;kpszsu/posts/pfbid0Z5L8y5UtE8jv7aRdqMTmznz64NtqgNAZpoFTK5tsNgNws36sop2cymSL8HvwBj1Jl
2026-01-16,3,136.0,117.0,75.0,PvKPivden/posts/pfbid0o5RAwML7RRc16vD7NW6VdsUoSRsFbf2vuY4RV47gusH5skswU4kYMTpJVUvkxMt2l;kpszsu/posts/pfbid0U17tZZWEsimyA2xrJyXKJZuYNMjJeryy5AmDh8f7JTZ6bDzRwGoqm9izALrodgs5l
2026-01-17,2,212.0,178.0,120.0,PvKPivden/posts/pfbid024ccuH13SAYEjEsbegA8k8yjxzmHtdv9jfArjhiQrRmLR5cKsmAZ7VYBnFTYcrKDwl;kpszsu/posts/pfbid02udo8eVTBBQwht4zh3JRtkQg6bnah2e6sLxQd5VhZsWwJYFYRwGfx4Gea2kZAmHz4l
2026-01-18,2,165.0,146.0,90.0,PvKPivden/posts/pfbid02jVGE9Ypp33Bt15pqYx24Njc7wrvWVnL9xN1TDymSKWLt9SjnS9DG5uLPZGNzpPdDl;kpszsu/posts/pfbid02V62NTYcTsBk7xuoZLUCXQYEvvjf6omg7RqEuF1Wh9JHwy3k66mV7fjShFkGW594tl
2026-01-19,6,389.0,358.0,250.0,PvKPivden/posts/pfbid022mvW1wE2WQnJ6cBjZ44cVyAtisT2u3LJAdEkFh4S7E8nuQYfcnBs7u66ESiTwyhyl;kpszsu/posts/pfbid0JL7FQAMHMqhW722B1fPd3ZySSap2eu8yXAceFC4su6t3uSeUsV966AAKiQAjPH17l
2026-01-20,4,127.0,113.0,70.0,PvKPivden/posts/pfbid02auV4CG2GCpE27V6dH85y8epeZ8ZoZxvf7bJtoSXZeM3vaxMAfPubHT1LHhPEVLaTl;kpszsu/posts/pfbid02uEx8jh69AzNH6zNQLDuxJ7UKLCnfNMLzc5buHQTCMiba77K9Z1xzPM7hqNvjwKCl
2026-01-21,4,106.0,91.0,55.0,PvKPivden/posts/pfbid02wrtGJDkHiBtwNCdSMezdgvDGffCjhQRgZ5YjSYNm3zzj1BaJfE29LX6J9yURB3atl;kpszsu/posts/pfbid02uEx8jh69AzNH6zNQLDuxJ7UKLCnfNMLzc5buHQTCMiba77K9Z1xzPM7hqNvjwKCl
2026-01-22,1,101.0,76.0,60.0,kpszsu/posts/pfbid02wpUxkERSy3utbvJoK2oxqZ9givVK1ytzKtco1xUzCrm8keXj9Pxb8Hwn3qEMCw7Dl
2026-01-23,6,417.0,393.0,250.0,PvKPivden/posts/pfbid02KbptVv6Vmt8XSTU6rvRXtZ93GisjxkhrDK2dNd6XM61AvRkJ6Wtk6toi5yfBVZkCl;kpszsu/posts/pfbid026zSsHtGvKqUqgU2FWshKhBKGMuh5ddWr39BhKdUHXXqHxWQAiw8Xm3E4PxSG23J1l
