time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details,source
2025-12-12,2025-12-12,Iskander-M/KN-23,Crimea,Odesa oblast,,3.0,0.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0GHvUKb2JZi31baCdGjeCGoRJqr669dLF2YG2yviSU3dFhaCm6Aj8yftsBLZwKb8rl
2025-12-10 19:00,2025-12-11 10:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Shatalovo and Hvardiiske, Crimea",Ukraine,Poltava oblast,151.0,83.0,0.0,,{},120.0,34.0,0.0,,,,,"{'south': 9, 'east': NaN}",,,kpszsu/posts/pfbid02dXow9WyXnULBmapJQHGAwrsC54D8rPjAXdRrJLZh35EPUg3zyDVCsrPP6GutbKCpl
2025-12-10 19:00,2025-12-11 10:00,Iskander-M/KN-23,Kursk oblast,Ukraine,,3.0,2.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02dXow9WyXnULBmapJQHGAwrsC54D8rPjAXdRrJLZh35EPUg3zyDVCsrPP6GutbKCpl
2025-12-11,2025-12-11,Молнія,,south,,11.0,11.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02i2pfV8RzRossFiTQD3A8GamWv4YC963PtgST3MaV4vRN8oJVRxoboe12V6kkb5nkl
2025-12-09 18:00,2025-12-10 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,80.0,50.0,0.0,,{},50.0,7.0,0.0,,,,,"{'south': 16, 'east': NaN}",,,kpszsu/posts/pfbid0tvGwThvr1pXu5s6RnKr9reCYxRL7fmtkKimSdy3fXP4Gu6G2m8KR7ZA3utiN7beFl
2025-12-10,2025-12-10,Молнія,,south,,9.0,9.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02tuQEN6dazi7q42VYPFDSDHYmehr4NSyPqtGC4hjs6QSEV8pUvUVvxvPkQdcZkNdwl
2025-12-08 18:00,2025-12-09 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,110.0,84.0,0.0,,{},70.0,9.0,0.0,,,,,"{'south': NaN, 'north': NaN, 'east': NaN}",,,kpszsu/posts/pfbid0Ampr9PhNKJScH6f5vwSy2AdS5FFu9B3azDQPPeQDU9pWt8pNBP2Sya3bprdRGer4l
2025-12-09,2025-12-09,Молнія,,south,,21.0,21.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid07jtT1fBLsgTWXoXE3pESCTSzgYHQ7tYicEpdUytzXnFuGXr6jzJTyQC2xhGA4H4vl
2025-12-07 18:00,2025-12-08 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Donetsk oblast",Ukraine,,149.0,131.0,0.0,,{},90.0,11.0,4.0,,,,,"{'south': 14, 'north': NaN, 'east': NaN}",,,kpszsu/posts/pfbid02VX2GMTFpyPn5YEyVSrjzBacExTcvDn7vHDdXLVy1Um7ZUnBsnUKb8AgCV413vq7l
2025-12-08,2025-12-08,Молнія,,south,,5.0,5.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid033hQrdKbze4zWPwJNwGgPNdGzYoefriparpVwCjPcoSLrEcY7D9doRfxwnVcMAPptl
2025-12-06 18:00,2025-12-07 09:00,X-47 Kinzhal,Tambov oblast,Ukraine,,3.0,2.0,,,{},,,,MiG-31K,,,,,,,kpszsu/posts/pfbid0d2Rx2p1iSxS4i874x54NCZzg9fcsBvdA5SGa8s53UAmBLQsePqC2TyKm8KhpvAARl
2025-12-06 18:00,2025-12-07 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo",Ukraine,,241.0,175.0,0.0,,{},150.0,14.0,0.0,,,,,"{'south': 8, 'north': NaN, 'east': NaN}",,,kpszsu/posts/pfbid0d2Rx2p1iSxS4i874x54NCZzg9fcsBvdA5SGa8s53UAmBLQsePqC2TyKm8KhpvAARl
2025-12-06 18:00,2025-12-07 09:00,Iskander-M/KN-23,Kursk oblast,Ukraine,,2.0,2.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid0d2Rx2p1iSxS4i874x54NCZzg9fcsBvdA5SGa8s53UAmBLQsePqC2TyKm8KhpvAARl
2025-12-07,2025-12-07,Молнія,,south,,6.0,6.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0ycrzdrq1huxrxWN7519qCh1voyRxB7b1V3bw3Ncs2L9iEW4hS49C2xge27XV93nhl
2025-12-05 18:00,2025-12-06 10:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo",Ukraine,,653.0,585.0,0.0,,{},300.0,29.0,3.0,,,,"['Lviv oblast', 'Ivano-Frankivsk oblast', 'Lutsk oblast', 'Kyiv oblast', 'Odesa oblast', 'Dnipropetrovsk oblast', 'Donetsk oblast', 'Chernihiv oblast']","{'west': 39, 'south': 28, 'north': NaN, 'east': NaN, 'center': NaN}",,,kpszsu/posts/pfbid08V2L3Y6pPBmVG3bXDkQWysJ4fhRpdpuUoPaD3BmYkJ5d4GWwKjzCjys9NmEZ7vPNl
2025-12-05 18:00,2025-12-06 10:00,Iskander-M/KN-23,Crimea and Bryansk oblast and Rostov oblast and Krasnodar Krai,Ukraine,,14.0,1.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid08V2L3Y6pPBmVG3bXDkQWysJ4fhRpdpuUoPaD3BmYkJ5d4GWwKjzCjys9NmEZ7vPNl
2025-12-05 05:00,2025-12-06 08:00,X-101/X-555 and Kalibr and Iskander-K,Rostov oblast and Black Sea,Ukraine,,34.0,29.0,,,{},,,,,,,,"{'west': 12, 'south': 3}",,,kpszsu/posts/pfbid08V2L3Y6pPBmVG3bXDkQWysJ4fhRpdpuUoPaD3BmYkJ5d4GWwKjzCjys9NmEZ7vPNl
2025-12-06 01:20,2025-12-06 03:00,X-47 Kinzhal,Ryazan oblast and Tambov oblast,Ukraine,,3.0,0.0,,,{},,,,MiG-31K,,,,,,,kpszsu/posts/pfbid08V2L3Y6pPBmVG3bXDkQWysJ4fhRpdpuUoPaD3BmYkJ5d4GWwKjzCjys9NmEZ7vPNl
2025-12-06,2025-12-06,Молнія,,south,,5.0,5.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02poRv4JsAszQac9RAWUZdmhxmrmSFZXa6awvLnSaxbqRJuGwZuHEkemYEPb5b6nZ3l
2025-12-04 19:00,2025-12-05 08:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo",Ukraine,,137.0,80.0,0.0,,{},90.0,13.0,0.0,,,,,"{'south': 1, 'north': NaN, 'east': NaN, 'center': NaN}",,,kpszsu/posts/pfbid02ULXuS1VDqhdBr4W6JeJaGAZihR51Lrdsbv1XSznLTgRYLEysMoXM5YJFda5Q797il
2025-12-05,2025-12-05,Молнія,,south,,5.0,5.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0EccSTRX19v2DiQ4ayzFhpcfPuVmg1kCqMKQxfNQieabpsP8YcYa4NULLoQEy4TVbl
2025-12-03 18:00,2025-12-04 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo",Ukraine,,138.0,114.0,0.0,,{},85.0,14.0,0.0,,,,,"{'south': 17, 'north': NaN, 'east': NaN}",,,kpszsu/posts/pfbid02jbnqt51T3VBG6ATaxLgPZwitZtn5p7X4wo6HrU9WovGFPmCz8jsBeDeaPNV1dMCsl
2025-12-03 18:00,2025-12-04 09:00,Iskander-M,Rostov oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02jbnqt51T3VBG6ATaxLgPZwitZtn5p7X4wo6HrU9WovGFPmCz8jsBeDeaPNV1dMCsl
2025-12-04,2025-12-04,Молнія,,south,,12.0,12.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02oRbYvTEcik2rciMpGGNDMZSemcE3C6DXAt9Q1vTXN4ycNwcinZwxC5zP5rsudUKnl
2025-12-02 18:00,2025-12-03 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,111.0,83.0,0.0,,{},60.0,13.0,1.0,,,,"['Kharkiv oblast', 'Odesa oblast', 'Dnipropetrovsk oblast', 'Zaporizhzhia oblast']","{'south': 13, 'north': NaN, 'east': NaN}",,,kpszsu/posts/pfbid0SrUYwpjgCWFbupTiPUohXfpphYV8W8Gnfeho1kd7hCuo1PLwFtyPCC1G7qWnGofCl
2025-12-03,2025-12-03,Iskander-M,Crimea,Mykolaiv oblast,,1.0,0.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0djAXWhcMDBVhfzee7u4MCwAuSkCm5yc7ZSREZtBUcZnNvTkYvmKrQLdzFjnfsCfZl
2025-12-01 18:00,2025-12-02 08:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Bryansk oblast and Oryol oblast and Millerovo and Donetsk oblast",Ukraine,,62.0,39.0,0.0,,{},35.0,8.0,0.0,,,,,"{'south': 11, 'north': NaN, 'east': NaN}",,,kpszsu/posts/pfbid02YydEvSbVz8TpwW8PdrL3apsg9ef8cv5ZcucN7VpMi3WpsGdarrBsjMiMYca3XTzCl
2025-12-02,2025-12-02,Unknown UAV,,south,,3.0,3.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02XBf7vjjA1tVSGesadEAGUh9sKAXHVYe5pXuaQ5PFBiCikc972rnx71SWr8ft8Dv4l
