id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
630728,COL-2026-2-18125-2,2026,false,Clear,2,18125,16348,Los Costenos - Los Papalópez gang,18125,18125,Los Costenos - Los Papalópez gang,8442,8442,Los Costenos,9227,9227,Los Papalópez gang,1,"""El Heraldo,2026-05-12,Hombre fue asesinado de cuatro tiros cuando lavaba un aire acondicionado en su vivienda El crimen se registró la noche del pasado lunes 11 de mayo en el barrio El Ferry, localidad Suroriente de Barranquilla.""",El Heraldo,2026-05-12,"Hombre fue asesinado de cuatro tiros cuando lavaba un aire acondicionado en su vivienda El crimen se registró la noche del pasado lunes 11 de mayo en el barrio El Ferry, localidad Suroriente de Barranquilla.",El Heraldo,1,Barranquilla town,"El Ferry neighborhood, in southeastern Barranquilla",Atlántico department,Barranquilla municipality,10.963889,-74.796389,POINT (-74.796389 10.963889),144931,Colombia,100,Americas,1,1,2026-05-11 00:00:00.000,2026-05-11 00:00:00.000,0,1,0,0,1,1,1,,
631433,COL-2026-1-18128-5,2026,false,Clear,1,"",289,Colombia: Government,18128,18128,Government of Colombia - EMBF,17,17,Government of Colombia,9191,9191,EMBF,1,"""El Heraldo,2026-05-13,Procurador Gregorio Eljach rechaza el asesinato de cuatro soldados en Guaviare: “Adoptar medidas urgentes para proteger a la población civil y garantizar la atención de los heridos”""",El Heraldo,2026-05-13,Procurador Gregorio Eljach rechaza el asesinato de cuatro soldados en Guaviare: “Adoptar medidas urgentes para proteger a la población civil y garantizar la atención de los heridos”,El Heraldo,1,San José del Guaviare town,"department of Guaviare.
 ​​San José del Guaviare,",Guaviare department,San José del Guaviare municipality,2.572858,-72.645914,POINT (-72.645914 2.572858),133415,Colombia,100,Americas,1,1,2026-05-13 00:00:00.000,2026-05-13 00:00:00.000,4,0,0,0,4,4,4,100,
631606,COL-2026-1-18128-6,2026,false,Clear,1,"",289,Colombia: Government,18128,18128,Government of Colombia - EMBF,17,17,Government of Colombia,9191,9191,EMBF,1,"""El TIempo,2026-05-24,Un menor de 17 años murió en medio de combates entre la fuerza pública y las disidencias de alias Chalá en Briceño, Antioquia


AU""",El TIempo,2026-05-24,"Un menor de 17 años murió en medio de combates entre la fuerza pública y las disidencias de alias Chalá en Briceño, Antioquia


AU",El Tiempo,3,Briceño municipality,municipality of Briceño,Antioquia department,Briceño municipality,7.050010,-75.509030,POINT (-75.50903 7.05001),139889,Colombia,100,Americas,1,1,2026-05-22 00:00:00.000,2026-05-22 00:00:00.000,0,1,0,0,1,1,1,100,
630726,COL-2026-3-18177-3,2026,false,Clear,3,8866,16384,Los Pepes - Civilians,8866,18177,Los Pepes - Civilians,8866,8866,Los Pepes,9999,1,Civilians,1,"""El Heraldo,2026-05-12,Joven pidió taxi en una aplicación y lo mataron al llegar a su destino en Santo Domingo de Guzmán La víctima, que no ha sido identificada, habría llegado desde La Guajira y fue atacada por sicarios en motocicleta en el barrio de la localidad Metropolitana de Barranquilla.""",El Heraldo,2026-05-12,"Joven pidió taxi en una aplicación y lo mataron al llegar a su destino en Santo Domingo de Guzmán La víctima, que no ha sido identificada, habría llegado desde La Guajira y fue atacada por sicarios en motocicleta en el barrio de la localidad Metropolitana de Barranquilla.",El Heraldo,1,Barranquilla town,Santo Domingo neighborhood in southern Barranquilla,Atlántico department,Barranquilla municipality,10.963889,-74.796389,POINT (-74.796389 10.963889),144931,Colombia,100,Americas,1,1,2026-05-11 00:00:00.000,2026-05-11 00:00:00.000,0,0,1,0,1,1,1,,
630731,COL-2026-3-18177-4,2026,false,Clear,3,8866,16384,Los Pepes - Civilians,8866,18177,Los Pepes - Civilians,8866,8866,Los Pepes,9999,1,Civilians,1,"""El Heraldo,2026-05-13,Taxista fue asesinado en Rebolo, sur de Barranquilla, horas antes de su cumpleaños: caso podría ser una equivocación De acuerdo con la línea investigativa de los agentes de la Sijín, al parecer, el ataque sicarial habría sido dirigido contra alias Nain, un presunto miembro de Los Costeños.""",El Heraldo,2026-05-13,"Taxista fue asesinado en Rebolo, sur de Barranquilla, horas antes de su cumpleaños: caso podría ser una equivocación De acuerdo con la línea investigativa de los agentes de la Sijín, al parecer, el ataque sicarial habría sido dirigido contra alias Nain, un presunto miembro de Los Costeños.",El Heraldo,1,Barranquilla town,Rebolo neighborhood of Barranquilla,Atlántico department,Barranquilla municipality,10.963889,-74.796389,POINT (-74.796389 10.963889),144931,Colombia,100,Americas,1,1,2026-05-12 00:00:00.000,2026-05-12 00:00:00.000,0,0,1,0,1,1,1,,
630738,COL-2026-3-18177-5,2026,false,Clear,3,8866,16384,Los Pepes - Civilians,8866,18177,Los Pepes - Civilians,8866,8866,Los Pepes,9999,1,Civilians,1,"""El Heraldo,2026-05-15,Asesinan a bala a comerciante frente a su vivienda en el barrio Paraíso de Malambo La víctima, identificada como Héctor Aurelio Jiménez Hoyos, de 66 años, fue atacada por dos hombres armados en el barrio El Paraíso. Las autoridades investigan la posible participación de una estructura criminal.""",El Heraldo,2026-05-15,"Asesinan a bala a comerciante frente a su vivienda en el barrio Paraíso de Malambo La víctima, identificada como Héctor Aurelio Jiménez Hoyos, de 66 años, fue atacada por dos hombres armados en el barrio El Paraíso. Las autoridades investigan la posible participación de una estructura criminal.",El Heraldo,1,Malambo town,"municipality of Malambo
El Paraíso neighborhood.",Atlántico department,Malambo municipality,10.859533,-74.773861,POINT (-74.773861 10.859533),144931,Colombia,100,Americas,1,1,2026-05-14 00:00:00.000,2026-05-14 00:00:00.000,0,0,1,0,1,1,1,,
631557,COL-2026-2-18547-4,2026,false,Clear,2,18547,16660,EGC - La Terraza,18547,18547,EGC - La Terraza,7214,7214,EGC,7930,7930,La Terraza,1,"""El Colombiano,2026-05-15,¡Atención! Masacre en Andes, Antioquia: a tres hombres los asesinaron y abandonaron en tres veredas


AU""",El Colombiano,2026-05-15,"¡Atención! Masacre en Andes, Antioquia: a tres hombres los asesinaron y abandonaron en tres veredas


AU",El Colombiano,1,Santa Rita village,"village of Santa Rita, in the municipality of Andes",Antioquia department,Andes municipality,5.612490,-75.916360,POINT (-75.91636 5.61249),137729,Colombia,100,Americas,1,1,2026-05-15 00:00:00.000,2026-05-15 00:00:00.000,0,0,0,3,3,3,3,,
631853,DOM-2026-2-2-XXX42-21,2026,false,Check dyad,2,2-XXX42,48,XXX42 - XXX42,2-XXX42,96,XXX42 - XXX42,XXX42,3643,XXX42,XXX42,3643,XXX42,1,"""Diario Libre,2026-05-21,¿Por qué miembros de una banda mataron a sus compañeros tras ejecutar a una mujer en Santiago?""",Diario Libre,2026-05-21,¿Por qué miembros de una banda mataron a sus compañeros tras ejecutar a una mujer en Santiago?,Diario Libre,4,Santiago province,"Los Solares de Bella Vista, southwest of Santiago province",Santiago province,,19.316670,-70.883330,POINT (-70.88333 19.31667),157179,Dominican Republic,42,Americas,1,1,2026-05-19 00:00:00.000,2026-05-19 00:00:00.000,0,0,0,1,1,1,1,,
630054,DRC-2026-1-1-XXX490-8,2026,false,Check dyad,1,XXX490,38,XXX490,1-XXX490,75,XXX490 - XXX490,XXX490,3633,XXX490,XXX490,3633,XXX490,2,"""Actualite.cd,2026-05-21,DRC: Two eco-guards killed in armed attack in Virunga Park"";""7SUR7.cd,2026-05-21,Virunga Park: 2 ecoguards killed in armed attack""",Actualite.cd;7SUR7.cd,2026-05-21;2026-05-21,DRC: Two eco-guards killed in armed attack in Virunga Park;Virunga Park: 2 ecoguards killed in armed attack,"ICCN, local sources",1,Kamuhororo village,"in Kamuhororo, on the coast of Lake Edward between Nyakakoma and Charuganda, in the Virunga Park (Rutshuru territory), in North Kivu",Nord Kivu province,Rutshuru territory,-0.575650,29.607720,POINT (29.60772 -0.57565),128580,DR Congo (Zaire),490,Africa,1,1,2026-05-21 00:00:00.000,2026-05-21 00:00:00.000,2,0,0,0,2,2,2,,
629930,DRC-2026-3-934-12,2026,false,Check geography,3,89,467,Government of DR Congo (Zaire) - Civilians,89,934,Government of DR Congo (Zaire) - Civilians,89,89,Government of DR Congo (Zaire),9999,1,Civilians,1,"""Actualite.cd,2026-05-04,Tshopo: Two soldiers kill a taximan after a dispute over the price of the race""",Actualite.cd,2026-05-04,Tshopo: Two soldiers kill a taximan after a dispute over the price of the race,witness,3,Ubundu territory,"near Parezi, a village located 148 kilometers from Kisangani, in Ubundu territory, in Tshopo province",Tshopo province,Ubundu territory,-0.350000,25.483333,POINT (25.483333 -0.35),129291,DR Congo (Zaire),490,Africa,1,1,2026-05-03 00:00:00.000,2026-05-03 00:00:00.000,0,0,1,0,1,1,1,490,
629936,DRC-2026-3-934-13,2026,false,Clear,3,89,467,Government of DR Congo (Zaire) - Civilians,89,934,Government of DR Congo (Zaire) - Civilians,89,89,Government of DR Congo (Zaire),9999,1,Civilians,1,"""Actualite.cd,2026-05-10,Nagorno-Katanga: Civil society demands justice after military smudge in Pweto, teacher killed and three wounded""",Actualite.cd,2026-05-10,"Nagorno-Katanga: Civil society demands justice after military smudge in Pweto, teacher killed and three wounded",Haut-Katanga civil society,1,Kabulembe village,"in Kabulembe, in the territory of Pweto, Haut-Katanga province",Haut-Katanga province,Pweto territory,-8.677209,28.700151,POINT (28.700151 -8.677209),117058,DR Congo (Zaire),490,Africa,1,1,2026-05-06 00:00:00.000,2026-05-06 00:00:00.000,0,0,1,0,1,1,1,490,
631348,DRC-2026-3-934-16,2026,false,Check vague or biased source,3,89,467,Government of DR Congo (Zaire) - Civilians,89,934,Government of DR Congo (Zaire) - Civilians,89,89,Government of DR Congo (Zaire),9999,1,Civilians,1,"""Kivu Morning Post,2026-05-12,South Kivu: FARDC reoccupies several localities in the Ruzizi plain""",Kivu Morning Post,2026-05-12,South Kivu: FARDC reoccupies several localities in the Ruzizi plain,M23,2,Luberizi village,"in Tikemesho, in the locality of Luberizi",Sud Kivu province,Uvira territory,-2.974100,29.088600,POINT (29.0886 -2.9741),125699,DR Congo (Zaire),490,Africa,1,1,2026-05-11 00:00:00.000,2026-05-11 00:00:00.000,0,0,0,0,0,1,0,490,
